at night;la nuit;;basic, time
day;le jour;;basic, time
delayed;en retard;;basic, time
earlier;plus tôt;;basic, time
Friday;vendredi;;basic, time
in the afternoon;l'après-midi;;basic, time
in the evening;le soir;;basic, time
in the morning;le matin;;basic, time
later;plus tard;;basic, time
Monday;lundi;;basic, time
month;le mois;;basic, time
on time;à l'heure;;basic, time
Saturday;samedi;;basic, time
Sunday;dimanche;;basic, time
Thursday;jeudi;;basic, time
time;le temps;;basic, time
Tuesday;mardi;;basic, time
Wednesday;mercredi;;basic, time
week;la semaine;;basic, time
year;l’année;;basic, time
blended family;famille recomposée;;family
brother;le frère;;family
cousin;cousin;;family
dad;le papa;;family
daughter;la fille;;family
family;la famille;;family
father;le père;;family
half-brother;demi-frère;;family
mom;la maman;;family
mother;la mère;;family
relation;la relation;;family
ring;la bague;;family
sister;la sœur;;family
son;le fils;;family
stepmom;belle-mère;;family
wedding;le mariage;;family
bad;mauvais(e);;basic, adjective
beautiful;beau/belle;;basic, adjective
big;grand(e);;basic, adjective
bright;clair(e);;basic, adjective
cheap;pas cher/chère;;basic, adjective
dark;sombre;;basic, adjective
expensive;cher/chère;;basic, adjective
good;bon(ne);;basic, adjective
important;important(e);;basic, adjective
new;nouveau/nouvelle;;basic, adjective
old;vieux/vieille;;basic, adjective
separate;séparé(e);;basic, adjective
small;petit(e);;basic, adjective
tired;fatigué(e);;basic, adjective
together;ensemble;;basic, adjective
young;jeune;;basic, adjective
How …?;Comment …?;;basic, sentences, questions
How long does it take?;Ça prendra combien de temps ?;;basic, sentences, questions
How much is it?;Ça coûte combien ?;;basic, sentences, questions
I need ...;J'ai besoin de ...;;basic, sentences
Is there …?;Il y a ... ?;;basic, sentences, questions
I would like ...;Je voudrais ...;;basic, sentences
No problem!;Pas de problème !;;basic, sentences
What is …?;Qu’est-ce que c’est ... ?;;basic, sentences, questions
Where is …?;Où est ... ?;;basic, sentences, questions
divided;divisé;;numbers
eighteen;dix-huit;;basic, numbers
eight;huit;;basic, numbers
eleven;onze;;basic, numbers
fifteen;quinze;;basic, numbers
fifty;cinquante;;basic, numbers
five;cinq;;basic, numbers
four;quatre;;basic, numbers
fourteen;quatorze;;basic, numbers
hundred;cent;;basic, numbers
milliard;billion;;basic, numbers
million;million;;basic, numbers
minus;moins;;basic, numbers
multiply;multiplier;;numbers
nine;neuf;;basic, numbers
nineteen;dix-neuf;;basic, numbers
one;un;;basic, numbers
percent;pourcent;;numbers
plus;plus;;basic, numbers
power;puissance;;numbers
seven;sept;;basic, numbers
seventeen;dix-sept;;basic, numbers
six;six;;basic, numbers
sixteen;seize;;basic, numbers
ten;dix;;basic, numbers
thirteen;treize;;basic, numbers
thousand;mille;;basic, numbers
three;trois;;basic, numbers
times;fois;;numbers
twelve;douze;;basic, numbers
twenty;vingt;;basic, numbers
