back ;le dos ;;basic, health, body
foot;le pied;;basic, health, body
stomach;l’abdomen;;basic, health, body
leg;la jambe;;basic, health, body
head;la tête;;basic, health, body
hand;la main;;basic, health, body
arm;le bras;;basic, health, body
wrist;le poignet;;basic, health, body
ankle;la cheville;;basic, health, body
shoulder;l'épaule;;basic, health, body
finger;le doigt;;basic, health, body
face;le visage;;basic, health, body
hair;les cheveux;;basic, health, body
eyes;les yeux;;basic, health, body
pupil;la pupille;;basic, health, body
eyelash;le cil;;basic, health, body
eyebrow;le sourcil;;basic, health, body
nail;l'ongle;;basic, health, body
nose;le nez;;basic, health, body
mouth;la bouche;;basic, health, body
lip;la lèvre;;basic, health, body
ear;l'oreille;;basic, health, body
neck;le cou;;basic, health, body
chest;la poitrine;;basic, health, body
buttocks;les fesses;;basic, health, body
penis;le pénis;;basic, health, body
vagina;le vagin;;basic, health, body
