wear;porter;;clothes
try on;essayer;;clothes
put on;mettre;;clothes
shirt;la chemise;;clothes
t-shirt;le t-shirt;;clothes
sleeve;la manche;;clothes
collar;le col;;clothes
watch;la montre;;clothes
ring;la bague;;clothes
glasses;les lunettes;;clothes
hat;le chapeau;;clothes
sweatshirt;le sweat;;clothes
jacket;le gilet;;clothes
coat;le manteau;;clothes
scarf;l'écharpe;;clothes
earring;la boucle d'oreille;;clothes
trousers;le pantalon;;clothes
pyjama;le pyjama;;clothes
sock;la chaussette;;clothes
shoe;la chaussure;;clothes
boot;la botte;;clothes
dress;robe;;clothes
skirt;la jupe;;clothes
underwear;le sous-vêtement;;clothes
boxer short;le caleçon;;clothes
pants;le slip;;clothes
knickers;la culotte;;clothes
bra;le soutien-gorge;;clothes
