reading;la lecture;;hobby
computer science;l'informatique;;hobby
listening to music;écouter de la musique;;hobby
art;l'art;;hobby
video games;les jeux vidéo;;hobby
sport;le sport;;hobby
football;le football;;hobby
shopping;le shopping;;hobby
playing musical instruments;jouer des instruments de musique;;hobby
hiking;la randonnée;;hobby
gardening;la jardinage;;hobby
painting;la peinture;;hobby
drawing;le dessin;;hobby
walking;la marche;;hobby
running;la course;;hobby
writing;l'écriture;;hobby
photography;la photographie;;hobby
board games;les jeux de société;;hobby
card games;les jeux de cartes;;hobby
foreign languages learning;l'apprentissage de langues étrangères;;hobby
cycling;le vélo;;hobby
fishing;la pêche;;hobby
skiing;le ski;;hobby
singing;le chant;;hobby
watching movies;regarder des films;
yoga;le yoga;;hobby
makeup;le maquillage;;hobby
boxing;la boxe;;hobby
dance;la danse;;hobby
volunteering;le volontariat;;hobby
activism;l'activisme;;hobby
astrology;l'astrologie;;hobby
mathematics;les mathématiques;;hobby
cryptography;la cryptographie;;hobby
robotics;la robotique;;hobby
sex;le sexe;;hobby
jewelry;les bijoux;;hobby
gemstones;les pierre précieuses;;hobby
quotes;les citations;;hobby
camping;le camping;;hobby
