roof;le toit;;house
ground floor;le rez-de-chaussée;;house
neighbour;le voisin;;house
building;l'immeuble;;house
house;la maison;;house
apartement;appartement;;house
table;la table;;house
wardrobe;l'amoire;;house
cupboard;le placard;;house
drawer;le tiroir;;house
bedroom;la chambre;;house
living room;le salon;;house
bathroom;la salle de bain;;house
washer;le lave-linge;;house
dryer;le sèche-linge;;house
dishwasher;le lave-vaisselle;;house
ground;le sol;;house
floor;l'étage;;house
ceiling;le plafond;;house
bathtub;la baignoire;;house
toilet;les toilettes;;house
sink;le lavabo;;house
duster;le chiffon;;house
shower;la douche;;house
towel;la serviette;;house
doormat;le paillasson;;house
bed;le lit;;house
kitchen;la cuisine;;house
to cook;cuisiner;;house
to sleep;dormir;;house
to rest;se reposer;;house
lamp;la lampe;;house
lightbulb;l'ampoule;;house
sofa;le canapé;;house
coffee table;la table basse;;house
dining room;la salle à manger;;house
desk;le bureau;;house
office;le bureau;;house
book;le livre;;house
hotplate;la plaque de cuisson;;house
oven;le four;;house
fridge;le réfrigérateur;;house
microwave;le micro-ondes;;house
window;la fenêtre;;house
balcony;la terasse;;house
chair;la chaise;;house
armchair;le fauteuil;;house
furniture;meuble;;house
pillow;le coussin;;house
sheet;le drap;;house
carpet;le tapis;;house
door;la porte;;house
mirror;le mirroir;;house
trash;la poubelle;;house
