to be angry;être en colère;;mood
to be happy;être heureux;;mood
to be glad;être content;;mood
to be sad;être triste;;mood
to be disgusted;être dégouté;;mood
to be doubtful;être dubitatif;;mood
to be skeptical;être sceptique;;mood
to think;réflechir;;mood
to wonder;se demander;;mood
to be amazed; être émerveillé;;mood
to feel pain;avoir mal;;mood
to be proud;être fier;;mood
to be excited;être excité;;mood
to be satisfied;être satisfait;;mood
to be compassionate;être compatissant;;mood
to feel guilty;se sentir coupable;;mood
to desire;désirer;;mood
to be grateful;être reconnaissant(e);;mood
to be humble;être humble;;mood
to be empatethic;être empathique;;mood
to appreciate;apprécier;;mood
to be confident;être confiant(e);;mood
to be optimistic;être optimiste;;mood
to be pessimistic;être pessimiste;;mood
to be kind;être gentil(le);;mood
to be loyal;être loyal(e);;mood
to be inspired;être inspiré(e);;mood
to be funny;être drôle;;mood
to be friendly;être amical(e);;mood
to be calm;être calme;;mood
to be sensual;être sensuel(le);;mood
to be warmed;être chaleureux;;mood
to be romantic;être romatique;;mood
to be aware;être conscient(e);;mood
to be comfortable;être à l'aise;;mood
to be free;être libre;;mood
to be courageous;être courageux;;mood
to hope;espérer;;mood
to be tender;être tendre;;mood
to be impatient;être impatient(e);;mood
to be sexy;être sexy;;mood
to be understanding;être compréhensif;;mood
to be patient;être patient(e);;mood
to be surprised;être surpris(e);;mood
to envy;envier;;mood
to be jealous of someone;jalouser quelqu'un;;mood
to be amazed;être impressionné(e);;mood
to be sentimental;être sentimental(e);;mood
to be focused;être concentré(e);;mood
to be determined;être déterminé(e);;mood
to be afraid;avoir peur;;mood
to be distracted;être distrait(e);;mood
to be lost;être perdu(e);;mood
to have pity;avoir pitié;;mood
to have grief;avoir du chagrin;;mood
to be curious;être curieux;;mood
to be horrified;être horrifié(e);;mood
to be overwhelmed;être submergé(e);;mood
to be nervous;être nerveux;;mood
to be anxious;être anxieux;;mood
to be terrified;être terrifié(e);;mood
to be cautious;être prudent(e);;mood
to be panicked;être paniqué(e);;mood
to be stressed;être stressé(e);;mood
to be shocked;être choqué(e);;mood
to be desperated;être desespéré(e);;mood
to be confused;être confus(e);;mood
to be alone;être seul(e);;mood
to be suspicious;être suspicieux;;mood
to be paranoid;être paranoïaque;;mood
to be reluctant;être réticent(e);;mood
to feel empty;se sentir vide;;mood
to suffer;souffrir;;mood
to feel insecure;se sentir en insécurité;;mood
to be apathetic;être apatique;;mood
to be defeated;être vaincu;;mood
to be submissive to someone;être soumis(e) à quelqu'un;;mood
to be melancholic;être mélancholique;;mood
to be heartbroken;avoir le coeur brisé;;mood
to be depressed;être déprimé(e);;mood
to be clingy to someone;être collant avec quelqu'un;;mood
to be hurt;être blessé(e);;mood
to be disappointed;être déçu(e);;mood
to be tired;être fatigué(e);;mood
to feel resigned;se sentir résigné(e);;mood
to feel miserable;se sentir misérable;;mood
to be shy;être timide;;mood
to feel vulnerable;se sentir vulnérable;;mood
to be nostalogic;être nostalgique;;mood
to have remorses;avoir des remords;;mood
to have regrets;avoir des regrets;;mood
to be pensive;être pensif;;mood
to be protective;être protecteur;;mood
to be in distress;être en détresse;;mood
to be annoyed;être ennuyé(e);;mood
to be bitter;être amer;;mood
to be frustrated;être frustré(e);;mood
to dislike;ne pas aimer;;mood
to be despised;être méprisé(e);;mood
to feel offended;se sentir offensé(e);;mood
to cheat on a partner;tromper un partenaire;;mood
to insult;insulter;;mood
to be cold;être froid(e);;mood
to feel hopeless;se sentir désespéré(e);;mood
to be mean;être méchant(e);;mood
to be vigilant;être vigilant(e);;mood
to be aggressive;être aggressif;;mood
to be cruel;être cruel(le);;mood
to be in denial;être dans le déni;;mood
to be defensive;être sur la défensive;;mood
to feel shame;ressentir de la honte;;mood
